sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,weight,status,visibility,tax_class_id,qty,is_in_stock,image,small_image,thumbnail
24-WB07,,Default,simple,,Default Category,base,Overnight Duffle,"<p>For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.</p>
<ul>
<li>Dual top handles.</li>
<li>W 15"" x H 15"" x D 9"".</li>
</ul>",Overnight Duffle,45.0,1.0,1,4,2,100.0,1.0,/w/b/wb07-brown-0.jpg,/w/b/wb07-brown-0.jpg,/w/b/wb07-brown-0.jpg
24-WB04,,Default,simple,,Default Category,base,Push It Messenger Bag,"<p>The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.</p>
<ul>
<li>Adjustable crossbody strap.</li>
<li>Top handle.</li>
<li>Zippered interior pocket.</li>
<li>Secure clip closures.</li>
<li>Durable fabric construction.</li>
</ul>",Push It Messenger Bag,45.0,1.0,1,4,2,100.0,1.0,/w/b/wb04-blue-0.jpg,/w/b/wb04-blue-0.jpg,/w/b/wb04-blue-0.jpg
24-UG06,,Default,simple,,Default Category,base,Affirm Water Bottle ,"<p>You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.</p>
<ul>
<li>Made of plastic.</li>
<li>Grooved sides for an easy grip.</li>
</ul>",Affirm Water Bottle ,7.0,1.0,1,4,2,100.0,1.0,/u/g/ug06-lb-0.jpg,/u/g/ug06-lb-0.jpg,/u/g/ug06-lb-0.jpg
24-UG07,,Default,simple,,Default Category,base,Dual Handle Cardio Ball,"<p>Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.</p>
<ul>
<li>Durable plastic shell with sand fill.
<li>Two handles.
<li>15 lbs.
</ul>",Dual Handle Cardio Ball,12.0,1.0,1,4,2,100.0,1.0,/u/g/ug07-bk-0.jpg,/u/g/ug07-bk-0.jpg,/u/g/ug07-bk-0.jpg
24-UG04,,Default,simple,,Default Category,base,Zing Jump Rope,"<p>One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.</p>
<ul>
<li> Contoured foam handles.
<li> Adjustable length.
</ul>",Zing Jump Rope,12.0,1.0,1,4,2,100.0,1.0,/u/g/ug04-bk-0.jpg,/u/g/ug04-bk-0.jpg,/u/g/ug04-bk-0.jpg
24-UG02,,Default,simple,,Default Category,base,Pursuit Lumaflex&trade; Tone Band,"<p>Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.</p>
<ul>
<li>Home and/or gym use.</li>
<li>Ergonomic handles.</li>
</ul>",Pursuit Lumaflex&trade; Tone Band,16.0,1.0,1,4,2,100.0,1.0,/u/g/ug02-bk-0.jpg,/u/g/ug02-bk-0.jpg,/u/g/ug02-bk-0.jpg
24-UG05,,Default,simple,,Default Category,base,Go-Get'r Pushup Grips,"<p>The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.</p>
<ul>
<li>Durable foam grips.</li>
<li>Supportive base.</li>
</ul>",Go-Get'r Pushup Grips,19.0,1.0,1,4,2,100.0,1.0,/u/g/ug05-gr-0.jpg,/u/g/ug05-gr-0.jpg,/u/g/ug05-gr-0.jpg
24-UG01,,Default,simple,,Default Category,base,Quest Lumaflex&trade; Band,"<p>From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.</p>
<ul>
<li>Adjusts from 30"" to 55"".
<li>Grippy comfort handles.
<li>Stretchy rubber construction.
</ul>",Quest Lumaflex&trade; Band,19.0,1.0,1,4,2,100.0,1.0,/u/g/ug01-bk-0.jpg,/u/g/ug01-bk-0.jpg,/u/g/ug01-bk-0.jpg
24-WG084,,Default,simple,,Default Category,base,Sprite Foam Yoga Brick,"<p>Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.</p>
<ul>
<li>Standard Large Size: 4"" x 6"" x 9"".
<li>Beveled edges for ideal contour grip.
<li>Durable and soft, scratch-proof foam.
<li>Individually wrapped.
<li>Ten color choices.
</ul> ",Sprite Foam Yoga Brick,5.0,1.0,1,4,2,100.0,1.0,/l/u/luma-yoga-brick.jpg,/l/u/luma-yoga-brick.jpg,/l/u/luma-yoga-brick.jpg
24-WG088,,Default,simple,,Default Category,base,Sprite Foam Roller,"<p>It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. </p>
<ul>
<li>6'' wide by 12'' long.</li>
<li>Safe for myofascial release.</li>
<li>EPP or PE foam options.</li>
<li>Solid, dense, closed-cell foam.</li>
</ul>",Sprite Foam Roller,19.0,1.0,1,4,2,100.0,1.0,/l/u/luma-foam-roller.jpg,/l/u/luma-foam-roller.jpg,/l/u/luma-foam-roller.jpg
24-UG03,,Default,simple,,Default Category,base,Harmony Lumaflex&trade; Strength Band Kit ,"<p>Forget fancy machines and costly memberships - the Harmony Lumaflex&trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.</p>
<ul>
<li>Three flex bands.</li>
<li>Textured, ergonomic grips.</li>
<li>Adjustable lengths.</li>
<li>Mesh carry bag included.</li>
</ul>",Harmony Lumaflex&trade; Strength Band Kit ,22.0,1.0,1,4,2,100.0,1.0,/u/g/ug03-bk-0.jpg,/u/g/ug03-bk-0.jpg,/u/g/ug03-bk-0.jpg
24-WG081-gray,,Default,simple,,Default Category,base,Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 55 cm,23.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg
24-WG081-pink,,Default,simple,,Default Category,base,Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 55 cm,23.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg
24-WG081-blue,,Default,simple,,Default Category,base,Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 55 cm,23.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg
24-WG082-gray,,Default,simple,,Default Category,base,Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>65 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 65 cm,27.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg
24-WG082-pink,,Default,simple,,Default Category,base,Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>65 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 65 cm,27.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg
24-WG082-blue,,Default,simple,,Default Category,base,Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>65 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 65 cm,27.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg
24-WG083-gray,,Default,simple,,Default Category,base,Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>75 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 75 cm,32.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg,/l/u/luma-stability-ball-gray.jpg
24-WG083-pink,,Default,simple,,Default Category,base,Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>75 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 75 cm,32.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg,/l/u/luma-stability-ball-pink.jpg
24-WG083-blue,,Default,simple,,Default Category,base,Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p>
<ul>
<li>75 cm plastic shell.</li>
<li>Durable, burst-resistant design.</li>
<li>Hand pump included.</li>
</ul>",Sprite Stasis Ball 75 cm,32.0,1.0,1,4,2,100.0,1.0,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg,/l/u/luma-stability-ball.jpg
24-WG085,,Default,simple,,Default Category,base,Sprite Yoga Strap 6 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p>
<ul>
<li>100% soft and durable cotton.
<li>Plastic cinch buckle is easy to use.
<li>Three natural colors made from phthalate and heavy metal free dyes.
</ul>",Sprite Yoga Strap 6 foot,14.0,1.0,1,4,2,100.0,1.0,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg
24-WG086,,Default,simple,,Default Category,base,Sprite Yoga Strap 8 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p>
<ul>
<li>8' long x 1.0"" wide.
<li>100% soft and durable cotton.
<li>Plastic cinch buckle is easy to use.
<li>Three natural colors made from phthalate and heavy metal free dyes.
</ul>",Sprite Yoga Strap 8 foot,17.0,1.0,1,4,2,100.0,1.0,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg
24-WG087,,Default,simple,,Default Category,base,Sprite Yoga Strap 10 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p>
<ul>
<li>10' long x 1.0"" wide.
<li>100% soft and durable cotton.
<li>Plastic cinch buckle is easy to use.
<li>Three natural colors made from phthalate and heavy metal free dyes.
</ul>",Sprite Yoga Strap 10 foot,21.0,1.0,1,4,2,100.0,1.0,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg,/l/u/luma-yoga-strap.jpg
24-MG04,,Default,simple,,Default Category,base,Aim Analog Watch,"<p>Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.</p>
<ul>
<li>Japanese quartz movement.</li>
<li>Strap fits 7"" to 8.0"".</li>
</ul>",Aim Analog Watch,45.0,1.0,1,4,2,100.0,1.0,/m/g/mg04-bk-0.jpg,/m/g/mg04-bk-0.jpg,/m/g/mg04-bk-0.jpg
24-MG01,,Default,simple,,Default Category,base,Endurance Watch,"<p>It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Strap fits 7"" to 10"".</li>
<li>1-year limited warranty.</li>
<li>Comes with polished metal case.</li>
</ul>",Endurance Watch,49.0,1.0,1,4,2,100.0,1.0,/m/g/mg01-bk-0.jpg,/m/g/mg01-bk-0.jpg,/m/g/mg01-bk-0.jpg
24-MG03,,Default,simple,,Default Category,base,Summit Watch,"<p>Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.</p>
<ul>
<li>Brushed metal case.</li>
<li>Water resistant (100 meters).</li>
<li>Buckle clasp.</li>
<li>Strap fits 7"" - 10"".</li>
<li>1-year limited warranty.</li>
</ul>",Summit Watch,54.0,1.0,1,4,2,100.0,1.0,/m/g/mg03-br-0.jpg,/m/g/mg03-br-0.jpg,/m/g/mg03-br-0.jpg
24-MG05,,Default,simple,,Default Category,base,Cruise Dual Analog Watch,"<p>Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.</p>
<ul>
<li>Two dials.</li>
<li>Stainless steel case.</li>
<li>Adjustable leather band.</li>
</ul>",Cruise Dual Analog Watch,55.0,1.0,1,4,2,100.0,1.0,/m/g/mg05-br-0.jpg,/m/g/mg05-br-0.jpg,/m/g/mg05-br-0.jpg
24-MG02,,Default,simple,,Default Category,base,Dash Digital Watch,"<p>The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Rubber strap with buckle clasp.</li>
<li>1-year limited warranty.</li>",Dash Digital Watch,92.0,1.0,1,4,2,100.0,1.0,/m/g/mg02-bk-0.jpg,/m/g/mg02-bk-0.jpg,/m/g/mg02-bk-0.jpg
24-WG09,,Default,simple,,Default Category,base,Luma Analog Watch,"<p>Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.</p>
<ul>
<li>Precision Miyota&reg; three-hand movement.</li>
</ul>",Luma Analog Watch,43.0,1.0,1,4,2,100.0,1.0,/w/g/wg09-gr-0.jpg,/w/g/wg09-gr-0.jpg,/w/g/wg09-gr-0.jpg
24-WG01,,Default,simple,,Default Category,base,Bolo Sport Watch,"<p>The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.</p>
<ul>
<li>Displays time, day and date.</li>
<li>Two-tone design.</li>
<li>12/24 hour formats.</li>
<li>Nickel-free buckle on band.</li>
<li>Battery included.</li>
</ul>",Bolo Sport Watch,49.0,1.0,1,4,2,100.0,1.0,/w/g/wg01-bk-0.jpg,/w/g/wg01-bk-0.jpg,/w/g/wg01-bk-0.jpg
24-WG03,,Default,simple,,Default Category,base,Clamber Watch,"<p>Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.</p>
<ul>
<li>Japanese quartz movement.</li>
<li>Strap fits 5"" to 6.0"".</li>
</ul>",Clamber Watch,54.0,1.0,1,4,2,100.0,1.0,/w/g/wg03-gr-0.jpg,/w/g/wg03-gr-0.jpg,/w/g/wg03-gr-0.jpg
24-WG02,,Default,simple,,Default Category,base,Didi Sport Watch,"<p>The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.</p>
<ul>
<li>Digital display.</li>
<li>LED backlight.</li>
<li>Rubber strap with buckle clasp.</li>
<li>1-year limited warranty.</li>
</ul>",Didi Sport Watch,92.0,1.0,1,4,2,100.0,1.0,/w/g/wg02-bk-0.jpg,/w/g/wg02-bk-0.jpg,/w/g/wg02-bk-0.jpg
MH01-XS-Black,,Default,simple,,Default Category,base,Chaz Kangeroo Hoodie-XS-Black,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",Chaz Kangeroo Hoodie-XS-Black,52.0,1.0,1,4,2,100.0,1.0,,,
MH01-XS-Gray,,Default,simple,,Default Category,base,Chaz Kangeroo Hoodie-XS-Gray,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",Chaz Kangeroo Hoodie-XS-Gray,52.0,1.0,1,4,2,100.0,1.0,,,
MH01-XS-Orange,,Default,simple,,Default Category,base,Chaz Kangeroo Hoodie-XS-Orange,"<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",Chaz Kangeroo Hoodie-XS-Orange,52.0,1.0,1,4,2,100.0,1.0,,,
